brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,price_capped,car_age,mileage_per_year,horsepower,engine_displacement_l,num_cylinders,transmission_type
Hyundai,Tucson SE,2007,16200.0,Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,None reported,Yes,8200.0,8200.0,19,852.6315789473684,173.0,2.7,6.0,Automatic
BMW,Z4 sDrive28i,2014,70000.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,20000.0,20000.0,12,5833.333333333333,240.0,2.0,4.0,Automatic
Bentley,Continental GTC Base,2011,20200.0,E85 Flex Fuel,552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,None reported,Yes,79950.0,79950.0,15,1346.6666666666667,552.0,6.0,12.0,Automatic
Honda,Passport Elite,2023,2978.0,Gasoline,3.5 Liter SOHC,Automatic,Lunar Silver Metallic,Gray,None reported,No,45498.0,45498.0,3,992.6666666666666,,,,Automatic
Dodge,Sprinter 2500,2007,189719.0,Diesel,3.0L V6 Cylinder Engine Diesel Fuel,5-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,14000.0,14000.0,19,9985.21052631579,,3.0,6.0,Automatic
BMW,M850 i xDrive,2019,9949.0,Gasoline,4.4 Liter DOHC Twin Turbo,Automatic,Blue,Black,None reported,No,75798.0,75798.0,7,1421.2857142857142,,,,Automatic
Lucid,Air Grand Touring,2022,3552.0,Unknown,536.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Beige,None reported,Yes,119999.0,119999.0,4,888.0,536.0,,,Automatic
Audi,A7 Premium,2012,54000.0,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Brown,At least 1 accident or damage reported,Yes,36880.0,36880.0,14,3857.1428571428573,310.0,3.0,6.0,Automatic
Chevrolet,Silverado 1500 Custom Trail Boss,2021,51351.0,Gasoline,5.3L V8 16V GDI OHV,Automatic,Black,Jet Black,None reported,Yes,43147.0,43147.0,5,10270.2,,5.3,8.0,Automatic
MINI,Convertible John Cooper Works,2017,24280.0,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,29000.0,29000.0,9,2697.777777777778,228.0,2.0,4.0,Automatic
Toyota,Avalon Touring,2016,89148.0,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,17500.0,17500.0,10,8914.8,268.0,3.5,6.0,Automatic
Porsche,Cayenne Platinum Edition,2017,73043.0,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,30990.0,30990.0,9,8115.888888888889,300.0,3.6,6.0,Automatic
Mercedes-Benz,AMG C 63 S,2017,60000.0,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,52500.0,52500.0,9,6666.666666666667,503.0,4.0,8.0,Other
Honda,CR-V EX-L,2016,73549.0,Gasoline,2.4L I4 16V GDI DOHC,Automatic CVT,Mountain Air Metallic,Black,At least 1 accident or damage reported,No,20848.0,20848.0,10,7354.9,,2.4,4.0,CVT
Hummer,H2 Base,2005,110900.0,Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,19500.0,19500.0,21,5280.952380952381,325.0,6.0,8.0,Automatic
Porsche,911 Carrera S,2013,39000.0,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Black,None reported,Yes,73000.0,73000.0,13,3000.0,400.0,3.8,6.0,Automatic
Mercedes-Benz,CLA-Class CLA 250,2016,120000.0,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,19800.0,19800.0,10,12000.0,208.0,2.0,4.0,Other
Chrysler,300 Touring,2009,134602.0,Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,7500.0,7500.0,17,7917.764705882353,250.0,3.5,6.0,Other
Nissan,Rogue SV,2023,1094.0,Gasoline,1.5L I3 12V GDI DOHC Turbo,Automatic CVT,Caspian Blue,Light Gray,None reported,No,30999.0,30999.0,3,364.6666666666667,,1.5,3.0,CVT
Audi,A3 2.0T,2010,83500.0,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,6500.0,6500.0,16,5218.75,200.0,2.0,4.0,Other
Ford,Mustang GT Premium,2014,37060.0,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,28500.0,28500.0,12,3088.3333333333335,420.0,5.0,8.0,Manual
Acura,RL Technology,2010,97700.0,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Beige,None reported,Yes,10995.0,10995.0,16,6106.25,300.0,3.7,6.0,Other
Volvo,XC90 Hybrid T8 R-Design,2018,40000.0,Plug-In Hybrid,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,42000.0,42000.0,8,5000.0,400.0,2.0,4.0,Other
Audi,R8 5.2 V10,2018,8940.0,Gasoline,5.2L V10 40V PDI DOHC,7-Speed Automatic with Auto-Shift,Tango Red Metallic,Black,None reported,No,144900.0,144900.0,8,1117.5,,5.2,10.0,Automatic
Mercedes-Benz,GLK-Class GLK 350,2014,186000.0,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,Yes,10000.0,10000.0,12,15500.0,302.0,3.5,6.0,Automatic
Toyota,C-HR LE,2021,13180.0,Gasoline,2.0 Liter,CVT-F,–,–,None reported,No,23998.0,23998.0,5,2636.0,,,,CVT
Lexus,IS 350 Base,2014,104000.0,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,21000.0,21000.0,12,8666.666666666666,306.0,3.5,6.0,Automatic
BMW,X4 M40i,2023,8500.0,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Gray,Beige,None reported,Yes,67900.0,67900.0,3,2833.3333333333335,382.0,3.0,6.0,Other
BMW,M4 CS,2019,19069.0,Gasoline,3.0 Liter DOHC Turbo,Automatic,Alpine White,Anthracite,None reported,No,69998.0,69998.0,7,2724.1428571428573,,,,Automatic
Cadillac,CT5 Premium Luxury,2023,6090.0,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,46900.0,46900.0,3,2030.0,237.0,2.0,4.0,Automatic
Lucid,Air Grand Touring,2022,4900.0,Unknown,536.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Black,None reported,Yes,99000.0,99000.0,4,1225.0,536.0,,,Automatic
Audi,A5 2.0T Premium Plus,2019,47523.0,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,31000.0,31000.0,7,6789.0,248.0,2.0,4.0,Other
Chrysler,300C SRT8,2006,43000.0,Gasoline,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,19995.0,19995.0,20,2150.0,425.0,6.1,8.0,Automatic
Bentley,Continental GT W12,2017,14684.0,Gasoline,582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,White,None reported,Yes,130000.0,130000.0,9,1631.5555555555557,582.0,6.0,12.0,Automatic
BMW,M4 Base,2019,57800.0,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Red,None reported,Yes,55999.0,55999.0,7,8257.142857142857,425.0,3.0,6.0,Other
Toyota,GR Corolla Circuit Edition,2023,952.0,Gasoline,300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Gray,None reported,Yes,49950.0,49950.0,3,317.3333333333333,300.0,1.6,3.0,Manual
Audi,RS 5 2.9T,2019,21240.0,Gasoline,444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,59950.0,59950.0,7,3034.285714285714,444.0,2.9,6.0,Automatic
Porsche,Cayenne Base,2019,59338.0,Gasoline,335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,42499.0,42499.0,7,8476.857142857143,335.0,3.0,6.0,Other
Lamborghini,Huracan Tecnica Coupe,2023,255.0,Gasoline,"5.2L V-10 gasoline direct injection, DOHC, variable valve contro",Automatic,BLU ELEOS,Nero Ade,None reported,No,359991.0,272713.2800000002,3,85.0,,5.2,,Automatic
Maserati,Quattroporte S,2019,23230.0,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,44999.0,44999.0,7,3318.5714285714284,424.0,3.0,6.0,Automatic
Jaguar,XF 35t R-Sport,2017,48000.0,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Black,At least 1 accident or damage reported,Yes,30000.0,30000.0,9,5333.333333333333,340.0,3.0,6.0,Automatic
Lexus,ES 330 Base,2005,41059.0,Gasoline,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Beige,None reported,Yes,11100.0,11100.0,21,1955.1904761904761,225.0,3.3,6.0,Automatic
Land,Rover Discovery Sport SE R-Dynamic,2020,21240.0,Gasoline,2.0 Liter,Automatic,White,Black,None reported,No,37998.0,37998.0,6,3540.0,,,,Automatic
Porsche,Cayman GTS,2015,11500.0,Gasoline,340.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,–,None reported,Yes,72000.0,72000.0,11,1045.4545454545455,340.0,3.4,6.0,Automatic
Genesis,G90 3.3T Premium,2021,9950.0,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Blue,None reported,Yes,53950.0,53950.0,5,1990.0,365.0,3.3,6.0,Automatic
Volkswagen,Golf R 20th Anniversary Edition,2023,633.0,Gasoline,315.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,47999.0,47999.0,3,211.0,315.0,2.0,4.0,Manual
Hyundai,Sonata Hybrid Limited,2015,66000.0,Hybrid,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,White,Gray,At least 1 accident or damage reported,Yes,15900.0,15900.0,11,6000.0,199.0,2.4,4.0,Automatic
Audi,RS 7 4.0T Prestige,2014,59715.0,Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,At least 1 accident or damage reported,Yes,45000.0,45000.0,12,4976.25,560.0,4.0,8.0,Automatic
BMW,740 Li,2012,85252.0,Gasoline,326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,18500.0,18500.0,14,6089.428571428572,326.0,3.0,6.0,Automatic
Mercedes-Benz,GLS 450 Base 4MATIC,2020,17900.0,Hybrid,362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,80000.0,80000.0,6,2983.3333333333335,362.0,3.0,6.0,Automatic
BMW,M6 Base,2016,25500.0,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,None reported,Yes,55000.0,55000.0,10,2550.0,560.0,4.4,8.0,Automatic
Subaru,Forester 2.5 X,2004,210703.0,Gasoline,165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,M/T,Green,Beige,Unknown,No,2300.0,2300.0,22,9577.40909090909,165.0,2.5,4.0,Manual
Hyundai,Elantra N Base,2023,3800.0,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,34000.0,34000.0,3,1266.6666666666667,276.0,2.0,4.0,Manual
Kia,Niro Plug-In Hybrid EX Premium,2022,36602.0,Hybrid,1.6L I4 16V GDI DOHC Hybrid,6-Speed Automatic with Auto-Shift,Horizon Blue,Charcoal,None reported,Yes,31995.0,31995.0,4,9150.5,,1.6,4.0,Automatic
Rivian,R1S Adventure Package,2023,2800.0,Unknown,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,Green,None reported,Yes,92000.0,92000.0,3,933.3333333333334,835.0,,,Automatic
Aston,Martin DBS Superleggera,2021,2165.0,Gasoline,5.2L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,Black,Black,None reported,Yes,279950.0,272713.2800000002,5,433.0,,5.2,12.0,Automatic
Mercedes-Benz,SLC 300 Base,2018,33000.0,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Red,Black,At least 1 accident or damage reported,Yes,29900.0,29900.0,8,4125.0,241.0,2.0,4.0,Automatic
BMW,435 Gran Coupe i,2016,76009.0,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,24950.0,24950.0,10,7600.9,300.0,3.0,6.0,Automatic
Jeep,Grand Cherokee Summit,2020,31349.0,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Granite Crystal Clearcoat Metallic,Black,None reported,No,39366.0,39366.0,6,5224.833333333333,,5.7,8.0,Automatic
Lexus,RC 350 Base,2015,48000.0,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Orange,Red,None reported,Yes,32900.0,32900.0,11,4363.636363636364,306.0,3.5,6.0,Other
BMW,525 i,2005,91420.0,Gasoline,215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,8900.0,8900.0,21,4353.333333333333,215.0,2.5,6.0,Automatic
Toyota,Corolla LE,2003,124756.0,Gasoline,130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,M/T,Beige,Beige,At least 1 accident or damage reported,Yes,4995.0,4995.0,23,5424.173913043478,130.0,1.8,4.0,Manual
Cadillac,CT5-V Blackwing,2023,2415.0,Gasoline,6.2L V8 16V GDI OHV Supercharged,10-Speed Automatic,Rift Metallic,Gray,None reported,No,104900.0,104900.0,3,805.0,,6.2,8.0,Automatic
GMC,Acadia SLT-1,2012,116226.0,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,7900.0,7900.0,14,8301.857142857143,288.0,3.6,6.0,Automatic
Lexus,LC 500 Base,2020,37869.0,Gasoline,5.0L V8 32V PDI DOHC,10-Speed Automatic,Atomic Silver,Rioja Red,None reported,No,75950.0,75950.0,6,6311.5,,5.0,8.0,Automatic
BMW,i8 Base,2019,41500.0,Plug-In Hybrid,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,86000.0,86000.0,7,5928.571428571428,369.0,1.5,3.0,Other
Lexus,ES 300h Base,2013,87001.0,Hybrid,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Gold,Beige,None reported,Yes,17995.0,17995.0,13,6692.384615384615,200.0,2.5,4.0,CVT
Cadillac,CT5-V V-Series,2022,4451.0,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,Automatic,Summit White,Jet Black,At least 1 accident or damage reported,Yes,55655.0,55655.0,4,1112.75,,3.0,6.0,Automatic
BMW,540 i xDrive,2020,27158.0,Gasoline,2.0 Liter Turbo,Automatic,Imperial Blue Metallic,Canberra Beige/Black,None reported,No,39998.0,39998.0,6,4526.333333333333,,,,Automatic
Chevrolet,Express 1500 Work Van,2014,139804.0,Gasoline,195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,14500.0,14500.0,12,11650.333333333334,195.0,4.3,6.0,Automatic
Jeep,Gladiator Rubicon,2022,27300.0,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Green,Black,None reported,Yes,47500.0,47500.0,4,6825.0,285.0,3.6,6.0,Automatic
BMW,Z4 sDrive28i,2014,36812.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,27000.0,27000.0,12,3067.6666666666665,240.0,2.0,4.0,Other
Land,Rover LR4 HSE LUX Landmark Edition,2016,144000.0,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,18000.0,18000.0,10,14400.0,340.0,3.0,6.0,Automatic
Cadillac,XT4 Sport,2019,44500.0,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Blue,White,None reported,Yes,28900.0,28900.0,7,6357.142857142857,237.0,2.0,4.0,Automatic
BMW,750 750i xDrive,2021,10917.0,Gasoline,4.4 Liter Twin Turbo,Automatic,Black,Black,None reported,No,73998.0,73998.0,5,2183.4,,,,Automatic
Bentley,Arnage R,2005,8332.0,Gasoline,400.0HP 6.75L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Beige,None reported,Yes,47350.0,47350.0,21,396.76190476190476,400.0,6.75,8.0,Automatic
Lincoln,Aviator Reserve AWD,2020,51247.0,Gasoline,3.0 Liter GTDI,Automatic,Magnetic Gray Clearcoat,Roast,None reported,No,47698.0,47698.0,6,8541.166666666666,,,,Automatic
Mercedes-Benz,AMG GL AMG GL 63 4MATIC,2016,69000.0,Gasoline,550.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,36500.0,36500.0,10,6900.0,550.0,5.5,8.0,Other
RAM,ProMaster 3500 High Roof,2021,147834.0,Gasoline,3.6L V6 24V MPFI DOHC,6-Speed Automatic,Bright White Clearcoat,Black,None reported,Yes,32662.0,32662.0,5,29566.8,,3.6,6.0,Automatic
Ford,Utility Police Interceptor Base,2013,105000.0,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Black,At least 1 accident or damage reported,Yes,6600.0,6600.0,13,8076.923076923077,300.0,3.7,6.0,Automatic
Audi,A5 2.0T Premium,2011,92203.0,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Beige,None reported,Yes,9995.0,9995.0,15,6146.866666666667,211.0,2.0,4.0,Other
